time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
1,TA,15,15,0,1270,1.0145,2
1,TA,15,15,1,1273,1.0253,2
1,TA,15,15,2,1295,1.0672,2
1,TA,15,15,3,1233,1.0122,2
1,TA,15,15,4,1287,0.9793,2
1,TA,15,15,5,1284,1.0361,2
1,TA,15,15,6,1250,1.0202,2
1,TA,15,15,7,1236,1.022,2
1,TA,15,15,8,1346,1.024,2
1,TA,15,15,9,1315,1.0317,2
1,TA,20,15,0,1521,0.9511,2
1,TA,20,15,1,1453,0.9875,2
1,TA,20,15,2,1593,1.0274,2
1,TA,20,15,3,1448,0.9809,2
1,TA,20,15,4,1556,0.9349,2
1,TA,20,15,5,1568,0.9617,2
1,TA,20,15,6,1685,0.9872,2
1,TA,20,15,7,1571,1.0271,2
1,TA,20,15,8,1451,0.9735,2
1,TA,20,15,9,1483,0.9638,2
1,TA,20,20,0,1918,0.9355,2
1,TA,20,20,1,1817,0.9108,2
1,TA,20,20,2,1801,0.9251,2
1,TA,20,20,3,1879,0.8536,2
1,TA,20,20,4,1786,0.9269,2
1,TA,20,20,5,1885,0.9076,2
1,TA,20,20,6,1926,0.9284,2
1,TA,20,20,7,1838,0.9028,2
1,TA,20,20,8,1893,0.889,2
1,TA,20,20,9,1814,0.8904,2
1,TA,30,15,0,2133,1.2074,2
1,TA,30,15,1,2308,1.1954,2
1,TA,30,15,2,2211,1.1808,2
1,TA,30,15,3,2190,1.2092,2
1,TA,30,15,4,2261,0.7307,2
1,TA,30,15,5,2143,1.2014,2
1,TA,30,15,6,2307,1.2226,2
1,TA,30,15,7,2070,1.1959,2
1,TA,30,15,8,2283,0.7244,2
1,TA,30,15,9,2073,1.1696,2
1,TA,30,20,0,2329,0.9437,2
1,TA,30,20,1,2520,0.9877,2
1,TA,30,20,2,2291,1.0154,2
1,TA,30,20,3,2604,0.9907,2
1,TA,30,20,4,2437,1.0409,2
1,TA,30,20,5,2566,0.965,2
1,TA,30,20,6,2393,1.2221,2
1,TA,30,20,7,2544,1.2034,2
1,TA,30,20,8,2595,1.0166,2
1,TA,30,20,9,2361,1.2577,2
1,TA,50,15,0,3486,0.6611,2
1,TA,50,15,1,3235,0.7021,2
1,TA,50,15,2,3398,0.7287,2
1,TA,50,15,3,3087,0.6999,2
1,TA,50,15,4,3119,1.0426,2
1,TA,50,15,5,3371,1.0441,2
1,TA,50,15,6,3651,0.6643,2
1,TA,50,15,7,3325,0.7314,2
1,TA,50,15,8,3136,1.057,2
1,TA,50,15,9,3426,0.6899,2
1,TA,50,20,0,3536,0.9778,2
1,TA,50,20,1,3495,0.8772,2
1,TA,50,20,2,3462,0.8908,2
1,TA,50,20,3,3383,0.8898,2
1,TA,50,20,4,3274,0.9147,2
1,TA,50,20,5,3547,0.8889,2
1,TA,50,20,6,3404,0.9017,2
1,TA,50,20,7,3312,0.8971,2
1,TA,50,20,8,3804,1.0776,2
1,TA,50,20,9,3733,0.8626,2
1,TA,100,20,0,6231,1.5125,2
1,TA,100,20,1,5973,1.5428,2
1,TA,100,20,2,6482,1.5077,2
1,TA,100,20,3,6062,1.5318,2
1,TA,100,20,4,6217,1.5142,2
1,TA,100,20,5,6369,1.5564,2
1,TA,100,20,6,101716,1.7988,0
1,TA,100,20,7,6143,1.5339,2
1,TA,100,20,8,6017,1.5354,2
1,TA,100,20,9,5847,1.5326,2
1,LA,10,5,0,666,0.0312,4
1,LA,10,5,1,655,0.0591,4
1,LA,10,5,2,597,0.0398,4
1,LA,10,5,3,590,0.0405,4
1,LA,10,5,4,593,0.0246,4
1,LA,15,5,0,926,0.0702,4
1,LA,15,5,1,890,0.0538,4
1,LA,15,5,2,863,0.0723,4
1,LA,15,5,3,951,0.0511,4
1,LA,15,5,4,958,0.0394,4
1,LA,20,5,0,1222,0.1048,4
1,LA,20,5,1,1039,0.1262,4
1,LA,20,5,2,1150,0.1406,4
1,LA,20,5,3,1292,0.0662,4
1,LA,20,5,4,1207,0.1313,4
1,LA,10,10,0,945,0.1127,4
1,LA,10,10,1,784,0.0805,4
1,LA,10,10,2,848,0.1021,4
1,LA,10,10,3,842,0.5205,4
1,LA,10,10,4,902,0.1997,4
1,LA,15,10,0,1076,1.0326,2
1,LA,15,10,1,933,1.0216,2
